callConid,clocal_name,clocal_class,call_close_prc,strike,multiplier,put_close_prc,plocal_class,plocal_name,putConid,expiration
564257466,SPXW  220622C03865000,SPXW,0.0000,3865.0,100,105.11,SPXW,SPXW  220622P03865000,564257737,
564046527,SPXW  220622C03870000,SPXW,0.0000,3870.0,100,110.11,SPXW,SPXW  220622P03870000,564046935,
564257474,SPXW  220622C03875000,SPXW,0.0000,3875.0,100,115.11,SPXW,SPXW  220622P03875000,564257746,
564046541,SPXW  220622C03880000,SPXW,0.0000,3880.0,100,120.11,SPXW,SPXW  220622P03880000,564046936,
564257480,SPXW  220622C03885000,SPXW,0.0000,3885.0,100,125.11,SPXW,SPXW  220622P03885000,564257752,
564046547,SPXW  220622C03890000,SPXW,0.0000,3890.0,100,130.11,SPXW,SPXW  220622P03890000,564046945,
564257485,SPXW  220622C03895000,SPXW,0.0000,3895.0,100,135.11,SPXW,SPXW  220622P03895000,564257764,
564046553,SPXW  220622C03900000,SPXW,0.0000,3900.0,100,140.11,SPXW,SPXW  220622P03900000,564046948,
564257497,SPXW  220622C03905000,SPXW,0.0000,3905.0,100,145.11,SPXW,SPXW  220622P03905000,564257774,
564046565,SPXW  220622C03910000,SPXW,0.0000,3910.0,100,150.11,SPXW,SPXW  220622P03910000,564046955,
564257504,SPXW  220622C03915000,SPXW,0.0000,3915.0,100,155.11,SPXW,SPXW  220622P03915000,564257786,
564046575,SPXW  220622C03920000,SPXW,0.0000,3920.0,100,160.11,SPXW,SPXW  220622P03920000,564046965,
564257509,SPXW  220622C03925000,SPXW,0.0000,3925.0,100,165.11,SPXW,SPXW  220622P03925000,564257794,
564046577,SPXW  220622C03930000,SPXW,0.0000,3930.0,100,170.11,SPXW,SPXW  220622P03930000,564046970,
564257521,SPXW  220622C03935000,SPXW,0.0000,3935.0,100,175.11,SPXW,SPXW  220622P03935000,564257800,
564046590,SPXW  220622C03940000,SPXW,0.0000,3940.0,100,180.11,SPXW,SPXW  220622P03940000,564046981,
564257524,SPXW  220622C03945000,SPXW,0.0000,3945.0,100,185.11,SPXW,SPXW  220622P03945000,564257814,
564046602,SPXW  220622C03950000,SPXW,0.0000,3950.0,100,190.11,SPXW,SPXW  220622P03950000,564046986,
564257534,SPXW  220622C03955000,SPXW,0.0000,3955.0,100,195.11,SPXW,SPXW  220622P03955000,564257820,
564046607,SPXW  220622C03960000,SPXW,0.0000,3960.0,100,200.11,SPXW,SPXW  220622P03960000,564046993,
564257536,SPXW  220622C03965000,SPXW,0.0000,3965.0,100,205.11,SPXW,SPXW  220622P03965000,564257839,
564046619,SPXW  220622C03970000,SPXW,0.0000,3970.0,100,210.11,SPXW,SPXW  220622P03970000,564046996,
564257551,SPXW  220622C03975000,SPXW,0.0000,3975.0,100,215.11,SPXW,SPXW  220622P03975000,564257844,
564046626,SPXW  220622C03980000,SPXW,0.0000,3980.0,100,220.11,SPXW,SPXW  220622P03980000,564047003,
564257553,SPXW  220622C03985000,SPXW,0.0000,3985.0,100,225.11,SPXW,SPXW  220622P03985000,564257854,
564046637,SPXW  220622C03990000,SPXW,0.0000,3990.0,100,230.11,SPXW,SPXW  220622P03990000,564047010,
564257563,SPXW  220622C03995000,SPXW,0.0000,3995.0,100,235.11,SPXW,SPXW  220622P03995000,564257865,
564046643,SPXW  220622C04000000,SPXW,0.0000,4000.0,100,240.11,SPXW,SPXW  220622P04000000,564047021,
564257570,SPXW  220622C04005000,SPXW,0.0000,4005.0,100,245.11,SPXW,SPXW  220622P04005000,564257874,
564046649,SPXW  220622C04010000,SPXW,0.0000,4010.0,100,250.11,SPXW,SPXW  220622P04010000,564047036,
564257576,SPXW  220622C04015000,SPXW,0.0000,4015.0,100,255.11,SPXW,SPXW  220622P04015000,564257885,
564046657,SPXW  220622C04020000,SPXW,0.0000,4020.0,100,260.11,SPXW,SPXW  220622P04020000,564047044,
564257581,SPXW  220622C04025000,SPXW,0.0000,4025.0,100,265.11,SPXW,SPXW  220622P04025000,564257899,
564046667,SPXW  220622C04030000,SPXW,0.0000,4030.0,100,270.11,SPXW,SPXW  220622P04030000,564047056,
564503950,SPXW  220622C04035000,SPXW,0.0000,4035.0,100,275.11,SPXW,SPXW  220622P04035000,564503977,
564046672,SPXW  220622C04040000,SPXW,0.0000,4040.0,100,280.11,SPXW,SPXW  220622P04040000,564047071,
564503952,SPXW  220622C04045000,SPXW,0.0000,4045.0,100,285.11,SPXW,SPXW  220622P04045000,564503980,
564046677,SPXW  220622C04050000,SPXW,0.0000,4050.0,100,290.11,SPXW,SPXW  220622P04050000,564047078,
564813560,SPXW  220622C04055000,SPXW,0.0000,4055.0,100,295.11,SPXW,SPXW  220622P04055000,564813775,
